rodada;posicao_ebt;nota;dt_inicio_avaliacao;dt_fim_avaliacao;uf;nome_uf;municipio;cod_ibge;populacao
1;1;10;29/01/2015;12/03/2015;SC;Santa Catarina;Apiúna;4201257;10211
1;1;10;01/04/2015;24/04/2015;SP;São Paulo;São Paulo;3550308;11895893
1;3;9.58;19/01/2015;17/03/2015;PB;Paraíba;Nazarezinho;2510006;7330
1;4;9.44;05/02/2015;12/03/2015;SC;Santa Catarina;Correia Pinto;4204558;14063
1;4;9.44;05/02/2015;12/03/2015;SC;Santa Catarina;Frei Rogério;4205555;2301
1;6;9.31;01/04/2015;24/04/2015;PR;Paraná;Curitiba;4106902;1864416
1;7;9.17;06/02/2015;16/03/2015;SC;Santa Catarina;Imbuia;4207403;5993
1;8;8.89;31/03/2015;23/04/2015;DF;Distrito Federal;Brasília;5300108;2852372
1;9;8.75;01/04/2015;27/04/2015;PE;Pernambuco;Recife;2611606;1608488
1;10;8.61;31/03/2015;23/04/2015;CE;Ceará;Fortaleza;2304400;2571896
1;11;8.47;22/01/2015;17/03/2015;PB;Paraíba;São José do Sabugi;2514701;4114
1;11;8.47;01/04/2015;24/04/2015;PB;Paraíba;João Pessoa;2507507;780738
1;11;8.47;01/04/2015;24/04/2015;SC;Santa Catarina;Florianópolis;4205407;461524
1;14;8.33;22/01/2015;17/03/2015;PB;Paraíba;Taperoá;2516508;15284
1;15;8.19;02/02/2015;16/03/2015;SC;Santa Catarina;Monte Carlo;4211058;9650
1;15;8.19;29/01/2015;12/03/2015;SC;Santa Catarina;Bombinhas;4202453;16897
1;15;8.19;13/01/2015;17/03/2015;RS;Rio Grande do Sul;São Paulo das Missões;4319307;6385
1;18;7.92;31/03/2015;23/04/2015;RS;Rio Grande do Sul;Porto Alegre;4314902;1472482
1;18;7.92;31/03/2015;23/04/2015;MG;Minas Gerais;Belo Horizonte;3106200;2491109
1;20;7.78;01/04/2015;24/04/2015;GO;Goiás;Goiânia;5208707;1412364
1;20;7.78;31/03/2015;24/04/2015;AC;Acre;Rio Branco;1200401;363928
1;22;7.64;21/01/2015;17/03/2015;PE;Pernambuco;Sairé;2612000;10633
1;22;7.64;01/04/2015;24/04/2015;RN;Rio Grande do Norte;Natal;2408102;862044
1;22;7.64;05/02/2015;17/03/2015;RS;Rio Grande do Sul;Camargo;4303558;2710
1;25;7.36;21/01/2015;17/03/2015;RS;Rio Grande do Sul;Imigrante;4310363;3141
1;25;7.36;28/01/2015;17/03/2015;RS;Rio Grande do Sul;Muitos Capões;4312617;3127
1;25;7.36;13/01/2015;18/03/2015;RS;Rio Grande do Sul;Tio Hugo;4321469;2893
1;28;6.94;06/02/2015;16/03/2015;SC;Santa Catarina;Vargeão;4219101;3590
1;29;6.81;01/04/2015;24/04/2015;MS;Mato Grosso do Sul;Campo Grande;5002704;843120
1;30;6.67;01/04/2015;24/04/2015;BA;Bahia;Salvador;2927408;2902927
1;31;6.25;13/01/2015;17/03/2015;RS;Rio Grande do Sul;São Sepé;4319604;24448
1;32;6.11;12/01/2015;17/03/2015;RS;Rio Grande do Sul;Pejuçara;4314308;4062
1;32;6.11;20/01/2015;17/03/2015;RS;Rio Grande do Sul;Forquetinha;4308433;2532
1;32;6.11;12/01/2015;10/03/2015;SP;São Paulo;Alto Alegre;3501103;4183
1;32;6.11;20/01/2015;05/03/2015;MS;Mato Grosso do Sul;Terenos;5008008;19434
1;36;5.56;24/02/2015;19/03/2015;SP;São Paulo;Ribeirão Bonito;3542909;12831
1;36;5.56;12/01/2015;17/03/2015;RS;Rio Grande do Sul;Picada Café;4314423;5498
1;38;5.42;12/01/2015;17/03/2015;RS;Rio Grande do Sul;Nova Petrópolis;4313201;20275
1;39;5.28;04/02/2015;12/03/2015;SC;Santa Catarina;Campo Erê;4203501;9098
1;39;5.28;06/02/2015;16/03/2015;SC;Santa Catarina;Presidente Getúlio;4214003;16210
1;39;5.28;05/02/2015;25/03/2015;SC;Santa Catarina;Lauro Muller;4209607;14919
1;39;5.28;02/02/2015;16/03/2015;SC;Santa Catarina;Luzerna;4210035;5700
1;39;5.28;01/04/2015;24/04/2015;MT;Mato Grosso;Cuiabá;5103403;575480
1;39;5.28;20/01/2015;16/03/2015;PB;Paraíba;Assunção;2501351;3782
1;39;5.28;26/01/2015;16/03/2015;MG;Minas Gerais;Gonçalves;3127404;4381
1;46;5;01/04/2015;24/04/2015;ES;Espírito Santo;Vitória;3205309;352104
1;46;5;31/03/2015;27/04/2015;AM;Amazonas;Manaus;1302603;2020301
1;46;5;31/03/2015;23/04/2015;TO;Tocantins;Palmas;1721000;265409
1;49;4.86;27/01/2015;16/03/2015;SC;Santa Catarina;Ibicaré;4206801;3336
1;50;4.72;28/01/2015;17/03/2015;RS;Rio Grande do Sul;Não-Me-Toque;4312658;16894
1;50;4.72;31/03/2015;24/04/2015;RJ;Rio de Janeiro;Rio de Janeiro;3304557;6453682
1;52;4.44;26/01/2015;17/03/2015;MG;Minas Gerais;Morada Nova de Minas;3143500;8712
1;52;4.44;01/04/2015;24/04/2015;SE;Sergipe;Aracaju;2800308;623766
